Questions,Answers
What is the use of optional Type Validator?,"You can use 'Optional Type' Validator when you want an input field (Attribute) to be optional, where the user may or may not enter the values. For Example, you can make alternate phone number as an optional Attribute, giving the choice to the end user to enter it or not."
Can I make an Attribute optional ?,"You can use 'Optional Type' Validator when you want an input field (Attribute) to be optional, where the user may or may not enter the values. For Example, you can make alternate phone number as an optional Attribute, giving the choice to the end user to enter it or not."
Can I make middle name as optional field?,"You can use 'Optional Type' Validator when you want an input field (Attribute) to be optional, where the user may or may not enter the values. For Example, you can make alternate phone number as an optional Attribute, giving the choice to the end user to enter it or not."
Is there a feature which can make an input value optional ?,"You can use 'Optional Type' Validator when you want an input field (Attribute) to be optional, where the user may or may not enter the values. For Example, you can make alternate phone number as an optional Attribute, giving the choice to the end user to enter it or not."
What is positive or Zero Validator?,"You can use 'Positive or Zero' Validator when you want the end users to provide an input value which is either positive or zero. If the users input a negative value, it will show an error message"
What is the use of positive or zero Validator ?,"You can use 'Positive or Zero' Validator when you want the end users to provide an input value which is either positive or zero. If the users input a negative value, it will show an error message"
Can I make users only enter positive values including 0 as input?,"You can use 'Positive or Zero' Validator when you want the end users to provide an input value which is either positive or zero. If the users input a negative value, it will show an error message"
Can I make an Attribute accept only positive or zeros as an input?,"You can use 'Positive or Zero' Validator when you want the end users to provide an input value which is either positive or zero. If the users input a negative value, it will show an error message"
Can I make users to enter only the whole numbers as an input?,"You can use 'Positive or Zero' Validator when you want the end users to provide an input value which is either positive or zero. If the users input a negative value, it will show an error message"
What is required under select Validators?,You can use 'Required' Validator when you want an input field (Attribute) must be filled with some value by the end user before submitting a form.
What is the use of required in select Validators?,You can use 'Required' Validator when you want an input field (Attribute) must be filled with some value by the end user before submitting a form.
What functions does the required Validator perform?,You can use 'Required' Validator when you want an input field (Attribute) must be filled with some value by the end user before submitting a form.
Can I make an Attribute mandatory to answer ?,You can use 'Required' Validator when you want an input field (Attribute) must be filled with some value by the end user before submitting a form.
Can I make a field as required?,You can use 'Required' Validator when you want an input field (Attribute) must be filled with some value by the end user before submitting a form.
Is there a possibility to make sure a users input some value ?,You can use 'Required' Validator when you want an input field (Attribute) must be filled with some value by the end user before submitting a form.
What is File Name length type in select Validators for Audio?,You can use File Name Length Type Validator if you want an input field to accept a filename which meets specified character length
What is the use of file name length type Validator?,You can use File Name Length Type Validator if you want an input field to accept a filename which meets specified character length
When do we use file name length type Validator?,You can use File Name Length Type Validator if you want an input field to accept a filename which meets specified character length
Can I specify a maximum length of characters for a file name ?,You can use File Name Length Type Validator if you want an input field to accept a filename which meets specified character length
Can I limit the length of a file name?,You can use File Name Length Type Validator if you want an input field to accept a filename which meets specified character length
Can I make an Attribute accept a file name that is within a specified limit?,You can use File Name Length Type Validator if you want an input field to accept a filename which meets specified character length
Can I make an input field accept a filename with restricted number of characters?,You can use File Name Length Type Validator if you want an input field to accept a filename which meets specified character length
How do I add file name length type Validator?,"You can use File Name Length Type Validator if you want an input field to accept a filename which meets specified character length.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select ' File Name Length Type' from the Select Validator drop down.
 Step 4: Enter the maximum value as per your wish 
 Step 5: Enter your error message
 Step 6: Select + Icon"""
How do I select file name length type Validator ?,"You can use File Name Length Type Validator if you want an input field to accept a filename which meets specified character length.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select ' File Name Length Type' from the Select Validator drop down.
 Step 4: Enter the maximum value as per your wish 
 Step 5: Enter your error message
 Step 6: Select + Icon"""
How to make an Attribute accept a file name with restricted number of characters?,"You can use File Name Length Type Validator if you want an input field to accept a filename which meets specified character length.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select ' File Name Length Type' from the Select Validator drop down.
 Step 4: Enter the maximum value as per your wish 
 Step 5: Enter your error message
 Step 6: Select + Icon"""
How do I specify maximum filename length that needs to be uploaded?,"You can use File Name Length Type Validator if you want an input field to accept a filename which meets specified character length.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select ' File Name Length Type' from the Select Validator drop down.
 Step 4: Enter the maximum value as per your wish 
 Step 5: Enter your error message
 Step 6: Select + Icon"""
How do I select file name pattern type Validator?,"You can use File Name Pattern Type Validator if you want an input field to accept a specified file name pattern.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Pattern Type' from the Select Validator drop down.
 Step 4: Define the pattern in RegExp 
 Step 5: Type your error message 
 Step 6: Select + Icon"
How to add file name pattern type Validator?,"You can use File Name Pattern Type Validator if you want an input field to accept a specified file name pattern.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Pattern Type' from the Select Validator drop down.
 Step 4: Define the pattern in RegExp 
 Step 5: Type your error message 
 Step 6: Select + Icon"
How can I add file name pattern type Validator to an Attribute?,"You can use File Name Pattern Type Validator if you want an input field to accept a specified file name pattern.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Pattern Type' from the Select Validator drop down.
 Step 4: Define the pattern in RegExp 
 Step 5: Type your error message 
 Step 6: Select + Icon"
How can I limit users to enter a file name which follows a specific pattern?,"You can use File Name Pattern Type Validator if you want an input field to accept a specified file name pattern.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Pattern Type' from the Select Validator drop down.
 Step 4: Define the pattern in RegExp 
 Step 5: Type your error message 
 Step 6: Select + Icon"
How can I validate a file name?,"You can use File Name Pattern Type Validator if you want an input field to accept a specified file name pattern.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Pattern Type' from the Select Validator drop down.
 Step 4: Define the pattern in RegExp 
 Step 5: Type your error message 
 Step 6: Select + Icon"
What is File Name Pattern type in select Validators for Audio?,"You can use File Name Pattern Type Validator if you want an input field to accept a specified file name pattern. To specify file name patterns, you can use regular expressions field."
What is file name pattern type Validator?,"You can use File Name Pattern Type Validator if you want an input field to accept a specified file name pattern. To specify file name patterns, you can use regular expressions field."
When is the use file name pattern type Validator?,"You can use File Name Pattern Type Validator if you want an input field to accept a specified file name pattern. To specify file name patterns, you can use regular expressions field."
When do we select file name pattern type Validator?,"You can use File Name Pattern Type Validator if you want an input field to accept a specified file name pattern. To specify file name patterns, you can use regular expressions field."
How do I select Future Type Validator?,"You can use Future Type Validator, when you want an input field to accept a date or time in the Future.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Future Type' from the Select Validator drop down.
 Step 4: Type your error message 
 Step 5: Fill in the required information in the fields
 Step 6: Select + Icon"
What are the steps to add Future Type Validator?,"You can use Future Type Validator, when you want an input field to accept a date or time in the Future.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Future Type' from the Select Validator drop down.
 Step 4: Type your error message 
 Step 5: Fill in the required information in the fields
 Step 6: Select + Icon"
What is Future Type under select Validators for Date UI control?,"You can use Future Type Validator, when you want an input field to accept a date or time in the Future. It is available for CUrrent Date Time, Date, and Date time UI Controls"
When do I select future type Validator?,"You can use Future Type Validator, when you want an input field to accept a date or time in the Future. It is available for CUrrent Date Time, Date, and Date time UI Controls"
What is Future Type under select Validators for CUrrent Date Time UI Control?,"You can use Future Type Validator, when you want an input field to accept a date or time in the Future. It is available for CUrrent Date Time, Date, and Date time UI Controls"
What is Future Type under select Validators for Date Time UI control?,"You can use Future Type Validator, when you want an input field to accept a date or time in the Future. It is available for CUrrent Date Time, Date, and Date time UI Controls"
What is the use of Future Type Validator?,"You can use Future Type Validator, when you want an input field to accept a date or time in the Future. It is available for CUrrent Date Time, Date, and Date time UI Controls"
Can I restrict users to enter a date only in the future?,"You can use Future Type Validator, when you want an input field to accept a date or time in the Future. It is available for CUrrent Date Time, Date, and Date time UI Controls"
Can I restrict users to enter a date or time only in the future?,"You can use Future Type Validator, when you want an input field to accept a date or time in the Future. It is available for CUrrent Date Time, Date, and Date time UI Controls"
Can I make an Attribute filed accept a date or time in the future?,"You can use Future Type Validator, when you want an input field to accept a date or time in the Future. It is available for CUrrent Date Time, Date, and Date time UI Controls"
How to set maximum file size for upload?,"You can use Max File Size Type Validator, when you want an input field to accept a file or doCUment which meets maximum size requirement.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Max File Size Type' from the Select Validator drop down.
 Step 4: Enter the values and units as per your wish 
 Step 5: Enter your error message
 Step 6: Select + Icon"
How do I select max file size type Validator?,"You can use Max File Size Type Validator, when you want an input field to accept a file or doCUment which meets maximum size requirement.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Max File Size Type' from the Select Validator drop down.
 Step 4: Enter the values and units as per your wish 
 Step 5: Enter your error message
 Step 6: Select + Icon"
What are the steps to add max file type Validator?,"You can use Max File Size Type Validator, when you want an input field to accept a file or doCUment which meets maximum size requirement.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Max File Size Type' from the Select Validator drop down.
 Step 4: Enter the values and units as per your wish 
 Step 5: Enter your error message
 Step 6: Select + Icon"
How do I make an Attribute accept a file which meets maximum file requirement ?,"You can use Max File Size Type Validator, when you want an input field to accept a file or doCUment which meets maximum size requirement.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Max File Size Type' from the Select Validator drop down.
 Step 4: Enter the values and units as per your wish 
 Step 5: Enter your error message
 Step 6: Select + Icon"
How to validate a file meets maximum size requirement before uploading?,"You can use Max File Size Type Validator, when you want an input field to accept a file or doCUment which meets maximum size requirement.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Max File Size Type' from the Select Validator drop down.
 Step 4: Enter the values and units as per your wish 
 Step 5: Enter your error message
 Step 6: Select + Icon"
How to set minimum file size for upload?,"You can use Min File Size Type Validator, when you want an input field to accept a file or doCUment which meets minimum size requirement.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Min File Size Type' from the Select Validator drop down.
 Step 4: Enter the values and units as per your wish 
 Step 5: Enter your error message
 Step 6: Select + Icon"
How do I add min file size type Validator?,"You can use Min File Size Type Validator, when you want an input field to accept a file or doCUment which meets minimum size requirement.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Min File Size Type' from the Select Validator drop down.
 Step 4: Enter the values and units as per your wish 
 Step 5: Enter your error message
 Step 6: Select + Icon"
How to select min file size Validator?,"You can use Min File Size Type Validator, when you want an input field to accept a file or doCUment which meets minimum size requirement.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Min File Size Type' from the Select Validator drop down.
 Step 4: Enter the values and units as per your wish 
 Step 5: Enter your error message
 Step 6: Select + Icon"
What are the steps to select min file size Validator?,"You can use Min File Size Type Validator, when you want an input field to accept a file or doCUment which meets minimum size requirement.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Min File Size Type' from the Select Validator drop down.
 Step 4: Enter the values and units as per your wish 
 Step 5: Enter your error message
 Step 6: Select + Icon"
What is the difference between the multi-line and rich text?,"You can use Multi line UI control when you want to add multiple lines of text to your Attribute field. Whereas, you can use Rich Text UI Control when you want to incorporate multiple formatting styles and sizes."
What is negative or Zero type for Number UI control?,"You can use Negative or Zero Type Validator when you want user to provide an input value which is either negative or zero. If a positive value is entered, it will show an error message"
When do I use negative or zero type Validator?,"You can use Negative or Zero Type Validator when you want user to provide an input value which is either negative or zero. If a positive value is entered, it will show an error message"
When do I select the Negative or zero Type Validator?,"You can use Negative or Zero Type Validator when you want user to provide an input value which is either negative or zero. If a positive value is entered, it will show an error message"
Is there a function which will only accept negative numbers or 0 as inputs?,"You can use Negative or Zero Type Validator when you want user to provide an input value which is either negative or zero. If a positive value is entered, it will show an error message"
How do I select past or Present Validator?,"You can use Past or Present Validator, when you want an input field to accept a date or time in the Past or in the present. 
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Past or Present' from the Select Validator drop down.
 Step 4: Type your error message 
 Step 5: Fill in the required information in the fields
 Step 6: Select + Icon"
How do I add past or Present Validator to an Attribute ?,"You can use Past or Present Validator, when you want an input field to accept a date or time in the Past or in the present. 
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Past or Present' from the Select Validator drop down.
 Step 4: Type your error message 
 Step 5: Fill in the required information in the fields
 Step 6: Select + Icon"
How to choose past or Present Validator?,"You can use Past or Present Validator, when you want an input field to accept a date or time in the Past or in the present. 
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Past or Present' from the Select Validator drop down.
 Step 4: Type your error message 
 Step 5: Fill in the required information in the fields
 Step 6: Select + Icon"
What is Past or present under select Validators for Date UI control?,"You can use Past or Present Validator, when you want an input field to accept a date or time in the Past or in the present. It is available for CUrrent Date Time, Date, and Date time UI Controls"
What is the use of past or present Validator?,"You can use Past or Present Validator, when you want an input field to accept a date or time in the Past or in the present. It is available for CUrrent Date Time, Date, and Date time UI Controls"
When do I use past or present Validator?,"You can use Past or Present Validator, when you want an input field to accept a date or time in the Past or in the present. It is available for CUrrent Date Time, Date, and Date time UI Controls"
Can I restrict users to provide a date or time only in the past or in the present?,"You can use Past or Present Validator, when you want an input field to accept a date or time in the Past or in the present. It is available for CUrrent Date Time, Date, and Date time UI Controls"
Can I make an Attribute accept a date or time either in the past or in the present?,"You can use Past or Present Validator, when you want an input field to accept a date or time in the Past or in the present. It is available for CUrrent Date Time, Date, and Date time UI Controls"
How do I select past type Validator ?,"You can use Past Type Validator, when you want an input field to accept a date or time in the Past.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Past Type' from the Select Validator drop down.
 Step 4: Type your error message 
 Step 5: Fill in the required information in the fields
 Step 6: Select + Icon"
How do I add past type Validator to an Attribute?,"You can use Past Type Validator, when you want an input field to accept a date or time in the Past.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Past Type' from the Select Validator drop down.
 Step 4: Type your error message 
 Step 5: Fill in the required information in the fields
 Step 6: Select + Icon"
What are the steps to select past type Validator ?,"You can use Past Type Validator, when you want an input field to accept a date or time in the Past.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Past Type' from the Select Validator drop down.
 Step 4: Type your error message 
 Step 5: Fill in the required information in the fields
 Step 6: Select + Icon"
How do I restrict users to enter a date or time only in the past?,"You can use Past Type Validator, when you want an input field to accept a date or time in the Past.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Past Type' from the Select Validator drop down.
 Step 4: Type your error message 
 Step 5: Fill in the required information in the fields
 Step 6: Select + Icon"
How can I make an Attribute accept a date only in the past?,"You can use Past Type Validator, when you want an input field to accept a date or time in the Past.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Past Type' from the Select Validator drop down.
 Step 4: Type your error message 
 Step 5: Fill in the required information in the fields
 Step 6: Select + Icon"
How do I limit users to give only present date or time as an input?,"You can use Past Type Validator, when you want an input field to accept a date or time in the Past.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Past Type' from the Select Validator drop down.
 Step 4: Type your error message 
 Step 5: Fill in the required information in the fields
 Step 6: Select + Icon"
What is Past Type under select Validators?,"You can use Past Type Validator, when you want an input field to accept a date or time in the Past. It is available for CUrrent Date Time, Date, and Date time UI Controls"
What is the use of Past Type under select Validators?,"You can use Past Type Validator, when you want an input field to accept a date or time in the Past. It is available for CUrrent Date Time, Date, and Date time UI Controls"
When do I select Past Type under select Validators?,"You can use Past Type Validator, when you want an input field to accept a date or time in the Past. It is available for CUrrent Date Time, Date, and Date time UI Controls"
Can I restrict users to enter a date or time only in the past?,"You can use Past Type Validator, when you want an input field to accept a date or time in the Past. It is available for CUrrent Date Time, Date, and Date time UI Controls"
Is there a function to restrict users to add only dates in the past?,"You can use Past Type Validator, when you want an input field to accept a date or time in the Past. It is available for CUrrent Date Time, Date, and Date time UI Controls"
Can I make an Attribute accept a date or time in the past?,"You can use Past Type Validator, when you want an input field to accept a date or time in the Past. It is available for CUrrent Date Time, Date, and Date time UI Controls"
How do I select Pattern Type Validator?,"You can use Pattern Type Validator to define specific pattern in which input should be entered.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Pattern Type' from the Select Validator drop down.
 Step 4: Define the pattern in RegEx 
 Step 5: Type your error message 
 Step 6: Select + Icon"
How do I restrict a field to a pattern ?,"You can use Pattern Type Validator to define specific pattern in which input should be entered.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Pattern Type' from the Select Validator drop down.
 Step 4: Define the pattern in RegExp 
 Step 5: Type your error message 
 Step 6: Select + Icon"
How do I give a pattern to an Attribute?,"You can use Pattern Type Validator to define specific pattern in which input should be entered.
 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Pattern Type' from the Select Validator drop down.
 Step 4: Define the pattern in RegExp 
 Step 5: Type your error message 
 Step 6: Select + Icon"
How do I add present or future Validator ?,"You can use Present or Future Validator, when you want an input field to accept a date or time in the present or in the future. 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Present or Future' from the Select Validator drop down.
 Step 4: Type your error message 
 Step 5: Fill in the required information in the fields
 Step 6: Select + Icon"
How do I select present or future Validator?,"You can use Present or Future Validator, when you want an input field to accept a date or time in the present or in the future. 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Present or Future' from the Select Validator drop down.
 Step 4: Type your error message 
 Step 5: Fill in the required information in the fields
 Step 6: Select + Icon"
How do I make an Attribute only accept present or future dates?,"You can use Present or Future Validator, when you want an input field to accept a date or time in the present or in the future. 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Present or Future' from the Select Validator drop down.
 Step 4: Type your error message 
 Step 5: Fill in the required information in the fields
 Step 6: Select + Icon"
How do I make an Attribute only accept time either in future or present ?,"You can use Present or Future Validator, when you want an input field to accept a date or time in the present or in the future. 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Present or Future' from the Select Validator drop down.
 Step 4: Type your error message 
 Step 5: Fill in the required information in the fields
 Step 6: Select + Icon"
How do I restrict users to provide a date or time either in present or in future?,"You can use Present or Future Validator, when you want an input field to accept a date or time in the present or in the future. 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Present or Future' from the Select Validator drop down.
 Step 4: Type your error message 
 Step 5: Fill in the required information in the fields
 Step 6: Select + Icon"
What is present or Future under select Validators?,"You can use Present or Future Validator, when you want an input field to accept a date or time in the present or in the future. It is available for CUrrent Date Time, Date, and Date time UI Controls"
What is the use of present or future Validator ?,"You can use Present or Future Validator, when you want an input field to accept a date or time in the present or in the future. It is available for CUrrent Date Time, Date, and Date time UI Controls"
When do I select present or future Validator?,"You can use Present or Future Validator, when you want an input field to accept a date or time in the present or in the future. It is available for CUrrent Date Time, Date, and Date time UI Controls"
Can I make an Attribute only accept a date either in present or future?,"You can use Present or Future Validator, when you want an input field to accept a date or time in the present or in the future. It is available for CUrrent Date Time, Date, and Date time UI Controls"
Can I restrict users to provide a date or time either in present or in future?,"You can use Present or Future Validator, when you want an input field to accept a date or time in the present or in the future. It is available for CUrrent Date Time, Date, and Date time UI Controls"
How do I select the present Validator?,"You can use Present Validator, when you want an input field to accept a date or time in the present . 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Present' from the Select Validator drop down.
 Step 4: Type your error message 
 Step 5: Fill in the required information in the fields
 Step 6: Select + Icon"
How to add Present Validator to an Attribute ?,"You can use Present Validator, when you want an input field to accept a date or time in the present . 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Present' from the Select Validator drop down.
 Step 4: Type your error message 
 Step 5: Fill in the required information in the fields
 Step 6: Select + Icon"
What are the steps to add Present Validator?,"You can use Present Validator, when you want an input field to accept a date or time in the present . 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Present' from the Select Validator drop down.
 Step 4: Type your error message 
 Step 5: Fill in the required information in the fields
 Step 6: Select + Icon"
How do I make an Attribute only accept the present date or time?,"You can use Present Validator, when you want an input field to accept a date or time in the present . 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Present' from the Select Validator drop down.
 Step 4: Type your error message 
 Step 5: Fill in the required information in the fields
 Step 6: Select + Icon"
How do I restrict an input field to only accept present date?,"You can use Present Validator, when you want an input field to accept a date or time in the present . 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Present' from the Select Validator drop down.
 Step 4: Type your error message 
 Step 5: Fill in the required information in the fields
 Step 6: Select + Icon"
How do I limit users to give only present date or time as an input ?,"You can use Present Validator, when you want an input field to accept a date or time in the present . 
 Step 1: Name your Attribute
 Step 2: Select UI control
 Step 3: Select 'Present' from the Select Validator drop down.
 Step 4: Type your error message 
 Step 5: Fill in the required information in the fields
 Step 6: Select + Icon"
What is present Validator?,"You can use Present Validator, when you want an input field to accept a date or time in the present . It is available for CUrrent Date Time, Date, and Date time UI Controls"
What is the use of present Validator?,"You can use Present Validator, when you want an input field to accept a date or time in the present . It is available for CUrrent Date Time, Date, and Date time UI Controls"
When do I select Present Validator?,"You can use Present Validator, when you want an input field to accept a date or time in the present . It is available for CUrrent Date Time, Date, and Date time UI Controls"
Is there a function which will only accept present date ?,"You can use Present Validator, when you want an input field to accept a date or time in the present . It is available for CUrrent Date Time, Date, and Date time UI Controls"
Is there a function which will only accept present time ?,"You can use Present Validator, when you want an input field to accept a date or time in the present . It is available for CUrrent Date Time, Date, and Date time UI Controls"
Can I make an Attribute only accept the present date or time?,"You can use Present Validator, when you want an input field to accept a date or time in the present . It is available for CUrrent Date Time, Date, and Date time UI Controls"
When do we use the text and multi line?,"You can use Text for simple words like Name, City, etc. and Multiple lines for description example feedbacks"
Where can we use the decimal number functions in NSLhub Kit?,You can use the decimal number function for very precise mathematical calculations involving decimals. .
Can we develop a solution to calculate the functions on decimal numbers?,You can use the decimal number function for very precise mathematical calculations involving decimals. .
Can I develop a solution where the user can Get first Day of Current Month,"You can use the function "" Get First Day of Current Month "" to fetch the first day of the Current month in a solution"
What is Get Time Zone name NSLdate datatype?,"You can use the function "" Get Time Zone"" which displays the time zone name in the solution"
Can I develop a solution that can give the Time Zone name?,"You can use the function "" Get Time Zone"" which displays the time zone name in the solution"
Can I Add a Number of Days to a Date?,"You can use the function ""Add Days in Date"" to add (subtract) number of days to (from) a specified local local date in a solution."
Can I develop a solution with the feature where the end users can Add Hours to the Current time,"You can use the function ""Add Hours in Date"" to add (subtract) number of specified hours to (from) a specified local time in a solution."
Can I develop a solution with the feature where the end users can Add Minutes value to the Current time,"You can use the function ""Add Minutes in Date"" to add (subtract) number of specified minutes to (from) a specified local time in a solution."
What is Add Months in Date NSLdate datatype?,"You can use the function ""Add Months in Date"" to add (subtract) number of months to (from) a specified local date in a solution."
Can I develop a solution with the feature where the end users can Add Months to the Current date?,"You can use the function ""Add Months in Date"" to add (subtract) number of months to (from) a specified local date in a solution."
Can I develop a solution with the feature that can Add Months to the Current date?,"You can use the function ""Add Months in Date"" to add (subtract) number of months to (from) a specified local date in a solution."
Can I develop a solution with the feature where the end users can Add Nanoseconds value to the Current time.,"You can use the function ""Add Nanoseconds in Date"" to add (subtract) number of specified Nanoseconds to (from) a specified local time in a solution."
Can I develop a solution with the feature where the end users can Add Seconds value to the Current time.,"You can use the function ""Add Seconds in Date"" to add (subtract) number of specified Seconds to (from) a specified local time in a solution."
Can I develop a solution with the feature where the end users can Add specified Number of Weeks to the Current date?,"You can use the function ""Add Weeks in Date"" to add (subtract) number of specified weeks to (from) a specified local date in a solution."
Can I develop a solution with the feature where the end users can Add number of Years to the Current date,"You can use the function ""Add Years in Date"" to add (subtract) number of specified years to (from) a specified local date in a solution."
Is there a function that can represent Boolean value as a text?,"You can use the function ""convert Boolean to text "" to convert Boolean value into text."
Is there a feature which can give an output either as true or false against a value?,"You can use the function ""convert Boolean to text "" to convert Boolean value into text."
Can I develop a solution which will show updated Local Date in a string?,"You can use the function ""Convert to local date"" to convert a date into a readable string in a solution."
Can I develop a solution with the feature which can convert date and time to Local Date and Time,"You can use the function ""Convert to Local Datetime"" to convert a zoned time date to a local time and date in a solution."
Can I develop a solution with a feature to convert the other time formats to Local Time format,"You can use the function ""Convert to Local time"" to convert the local time into a readable string in a solution"
Is there a feature to convert strings to lowercase?,"You can use the function ""Convert to Lower Case"" to convert strings to lowercase letters in a solution."
Is there a function to converts all characters of the string into lower case letters?,"You can use the function ""Convert to Lower Case"" to convert strings to lowercase letters in a solution."
What is Date Difference in Nanoseconds NSLdate datatype?,"You can use the function ""Date Difference in Nanoseconds"" to calculate the difference between two dates in nanoseconds in a solution."
Is there a feature to calculate difference between two dates in nanoseconds?,"You can use the function ""Date Difference in Nanoseconds"" to calculate the difference between two dates in nanoseconds in a solution."
Can I calculate difference in two dates in nanoseconds?,"You can use the function ""Date Difference in Nanoseconds"" to calculate the difference between two dates in nanoseconds in a solution."
What is Date Difference in Seconds NSL date datatype?,"You can use the function ""Date Difference in Seconds"" to calculate the difference between two dates in seconds in a solution."
Is there a feature to calculate difference between two dates in seconds?,"You can use the function ""Date Difference in Seconds"" to calculate the difference between two dates in seconds in a solution."
Can I calculate difference in two dates in seconds?,"You can use the function ""Date Difference in Seconds"" to calculate the difference between two dates in seconds in a solution."
Can we develop a solution with a feature to fetch the day name in a week?,"You can use the function ""Day Name of Week"" to get the name of the day of a week against a date in a solution."
Can we develop a solution to calculate the Day Number in a Year?,"You can use the function ""Day Number in Year"" to get day of a year against a date which can be in the range of 1-365 or 366 in case of leap years."
Can we develop a solution to pick only the day of a date?,"You can use the function ""Day Number of Month"" to get the day of a particular date which is in range 1-31 in a solution."
Can we develop a solution to display only the Day of a Date?,"You can use the function ""Day Number of Month"" to get the day of a particular date which is in range 1-31 in a solution."
Is there a function to check whether a text ends with a particular value?,"You can use the function ""Ends With"" to check if a text or string ends with a given suffix in a solution."
Can I develop a solution which would show the First Day of the Current Year?,"You can use the function ""First Day of Current Year "" to get the First day of the Current year from the Current system date in a solution."
Can I develop a solution with a feature which will fetch the name of First Day of Next Month,"You can use the function ""First Day of Next Month "" to get the first day of the next month from the Current system date in a solution."
Can I develop a solution where the user can view First Day of the Next Year?,"You can use the function ""First Day of Next Year "" to get the first day of the next year from the Current system date in a solution."
Can I develop a solution which can display Current Date and Time?,"You can use the function ""Get Current Datetime"" to get the Current date and time from the system clock in a solution."
Is there a functions which can count total number of letters in a string?,"You can use the function ""Get length of text"" to count the total number of elements in a text or a string in a solution."
Can I get the total number of elements in an array?,"You can use the function ""Get length of text"" to count the total number of elements in a text or a string in a solution."
What is Get Local Time NSLdate datatype?,"You can use the function ""Get Local Time"" to represent time as hour-minute-second without additional information such as timezone and date in a solution."
Is there a function that can show the Local Time?,"You can use the function ""Get Local Time"" to represent time as hour-minute-second without additional information such as timezone and date in a solution."
Can I develop a solution with a feature to fetch the Time Delay between the local time and UTC.,"You can use the function ""Get Time Delay"" to get the time delay difference between a local time and UTC in milliseconds in the solution."
Can I develop a solution to display different Time Zones,"You can use the function ""Get Timezone"" to get the timezone, for example Etc./UTC/Asia/CalCUtta in a solution."
Can we develop a solution to pick/display only the Hour of a day?,"You can use the function ""Hour of the Day"" to get the hour of day against a local time which ranges from 0-23 in a solution."
Can I develop a solution which would show the Last Day of the Current Month?,"You can use the function ""Last Day of Current Month "" to get the last day of the Current month from the Current system date in a solution."
Can I develop a solution where the user can view Last Day of the Current Year?,"You can use the function ""Last Day of Current Year "" to get the last day of the Current year from the Current system date in a solution."
Can we develop a solution to pick the Minutes of the Time?,"You can use the function ""Minute of the Time"" to fetch the minutes of an hour against a local time which ranges from 0-59 in a solution."
